,Price,Room type,Person capacity,Longitude,Latitude,City,Neighbourhood
9606,228.66,Entire home,2,-9.1544,38.71051,Lisbon,Estrela
9607,234.52,Entire home,3,-9.15613,38.70941,Lisbon,Estrela
9608,174.02,Private room,2,-9.148,38.729,Lisbon,Avenidas Novas
9609,139.31,Private room,2,-9.148,38.729,Lisbon,Avenidas Novas
9610,139.31,Private room,3,-9.148,38.729,Lisbon,Avenidas Novas
9611,139.31,Private room,4,-9.147,38.729,Lisbon,Arroios
9612,702.86,Entire home,6,-9.15718,38.71296,Lisbon,Estrela
9613,272.98,Entire home,3,-9.12827,38.718990000000005,Lisbon,So Vicente
9614,249.53,Entire home,4,-9.13007,38.71725,Lisbon,So Vicente
9615,230.07,Entire home,6,-9.139,38.716,Lisbon,Arroios
9616,304.17,Entire home,5,-9.13076,38.71517,Lisbon,So Vicente
9617,156.66,Private room,2,-9.141,38.713,Lisbon,Santa Maria Maior
9618,246.25,Entire home,3,-9.12478,38.7172,Lisbon,So Vicente
9619,284.47,Entire home,5,-9.12502,38.719840000000005,Lisbon,So Vicente
9620,181.05,Private room,2,-9.136,38.711,Lisbon,Santa Maria Maior
9621,211.3,Entire home,5,-9.15189,38.70848,Lisbon,Misericrdia
9622,283.3,Entire home,6,-9.12668,38.71828,Lisbon,So Vicente
9623,217.17,Entire home,3,-9.13262,38.71798,Lisbon,So Vicente
9624,368.2,Entire home,5,-9.15217,38.71292,Lisbon,Misericrdia
9625,211.3,Entire home,4,-9.13271,38.71586,Lisbon,Santa Maria Maior
